COST_CENTER,GO_LIVE_DATE,PICKUP_BUFFER,MIN_RMNG_DLVRY_TIME
701001,02/13/2019,20,2
701002,12/31/2049,20,2
701003,02/13/2019,20,2
701004,12/31/2049,20,2
701005,02/13/2019,20,2
701006,02/13/2019,20,2
701007,02/06/2019,20,2
701008,12/31/2049,20,2
701009,12/31/2049,20,2
701010,02/21/2019,20,2
701011,02/21/2019,20,2
701012,02/21/2019,20,2
701013,02/06/2019,20,2
701014,12/31/2049,20,2
701015,12/31/2049,20,2
701016,12/31/2049,20,2
701017,12/31/2049,20,2
701018,12/31/2049,20,2
701019,12/31/2049,20,2
701020,02/21/2019,20,2
701021,12/31/2049,20,2
701023,12/31/2049,20,2
701024,12/31/2049,20,2
701025,12/31/2049,20,2
701026,02/15/2019,20,2
701027,12/31/2049,20,2
701028,12/31/2049,20,2
701029,12/31/2049,20,2
701030,02/21/2019,20,2
701031,12/31/2049,20,2
701032,12/31/2049,20,2
701033,02/06/2019,20,2
701034,12/31/2049,20,2
701035,02/21/2019,20,2
701036,02/21/2019,20,2
701037,12/31/2049,20,2
701038,02/06/2019,20,2
701039,12/31/2049,20,2
701040,02/06/2019,20,2
701041,03/22/2019,20,2
701042,12/31/2049,20,2
701044,12/31/2049,20,2
701045,12/31/2049,20,2
701046,12/31/2049,20,2
701050,03/14/2019,20,2
701051,12/31/2049,20,2
701053,12/31/2049,20,2
701054,03/22/2019,20,2
701055,12/31/2049,20,2
701056,12/31/2049,20,2
701057,12/31/2049,20,2
701058,02/21/2019,20,2
701059,03/14/2019,20,2
701060,02/21/2019,20,2
701061,02/28/2019,20,2
701062,12/31/2049,20,2
701063,02/08/2019,20,2
701065,02/08/2019,20,2
701066,03/22/2019,20,2
701067,12/31/2049,20,2
701068,02/21/2019,20,2
701069,02/28/2019,20,2
701070,06/25/2019,20,2
701071,02/21/2019,20,2
701072,12/31/2049,20,2
701073,12/31/2049,20,2
701074,12/31/2049,20,2
701075,12/31/2049,20,2
701076,12/31/2049,20,2
701077,12/31/2049,20,2
701078,03/14/2019,20,2
701079,12/31/2049,20,2
701080,02/08/2019,20,2
701081,12/31/2049,20,2
701082,12/31/2049,20,2
701083,03/14/2019,20,2
701084,12/31/2049,20,2
701085,02/06/2019,20,2
701087,02/21/2019,20,2
701088,02/27/2019,20,2
701089,12/31/2049,20,2
701090,12/31/2049,20,2
701091,02/13/2019,20,2
701092,12/31/2049,20,2
701093,12/31/2049,20,2
701094,12/31/2049,20,2
701095,02/15/2019,20,2
701096,02/21/2019,20,2
701098,12/31/2049,20,2
701099,02/06/2019,20,2
701101,12/31/2049,20,2
701102,02/28/2019,20,2
701103,03/01/2019,20,2
701104,02/21/2019,20,2
701105,02/13/2019,20,2
701106,03/20/2019,20,2
701108,12/31/2049,20,2
701109,02/27/2019,20,2
701110,02/27/2019,20,2
701112,12/31/2049,20,2
701113,02/27/2019,20,2
701114,12/31/2049,20,2
701116,02/15/2019,20,2
701117,02/28/2019,20,2
701118,03/14/2019,20,2
701119,02/21/2019,20,2
701120,03/14/2019,20,2
701121,12/31/2049,20,2
701122,02/13/2019,20,2
701123,02/21/2019,20,2
701124,12/31/2049,20,2
701125,02/13/2019,20,2
701126,03/01/2019,20,2
701127,02/21/2019,20,2
701128,12/31/2049,20,2
701129,12/31/2049,20,2
701130,02/28/2019,20,2
701131,02/06/2019,20,2
701132,02/28/2019,20,2
701133,02/08/2019,20,2
701134,02/08/2019,20,2
701135,12/31/2049,20,2
701136,03/14/2019,20,2
701137,02/08/2019,20,2
701139,12/31/2049,20,2
701140,03/14/2019,20,2
701141,12/31/2049,20,2
701143,02/28/2019,20,2
701144,02/21/2019,20,2
701145,12/31/2049,20,2
701147,02/21/2019,20,2
701148,03/20/2019,20,2
701149,12/31/2049,20,2
701150,03/22/2019,20,2
701151,12/31/2049,20,2
701152,03/14/2019,20,2
701153,03/14/2019,20,2
701155,12/31/2049,20,2
701156,12/31/2049,20,2
701157,12/31/2049,20,2
701158,12/31/2049,20,2
701159,02/21/2019,20,2
701161,03/22/2019,20,2
701162,03/14/2019,20,2
701163,12/31/2049,20,2
701164,02/15/2019,20,2
701165,12/31/2049,20,2
701166,03/22/2019,20,2
701167,02/15/2019,20,2
701168,12/31/2049,20,2
701170,12/31/2049,20,2
701171,02/21/2019,20,2
701172,02/06/2019,20,2
701173,12/31/2049,20,2
701174,12/31/2049,20,2
701175,12/31/2049,20,2
701176,02/21/2019,20,2
701177,12/31/2049,20,2
701178,02/28/2019,20,2
701179,12/31/2049,20,2
701180,02/13/2019,20,2
701181,02/28/2019,20,2
701182,02/28/2019,20,2
701183,02/28/2019,20,2
701184,02/06/2019,20,2
701185,12/31/2049,20,2
701186,02/21/2019,20,2
701187,02/21/2019,20,2
701188,12/31/2049,20,2
701189,12/31/2049,20,2
701190,02/28/2019,20,2
701191,12/31/2049,20,2
701192,12/31/2049,20,2
701193,12/31/2049,20,2
701194,02/06/2019,20,2
701195,02/06/2019,20,2
701197,02/06/2019,20,2
701198,12/31/2049,20,2
701199,12/31/2049,20,2
701202,12/31/2049,20,2
701205,02/21/2019,20,2
701206,12/31/2049,20,2
701207,12/31/2049,20,2
701208,12/31/2049,20,2
701209,12/31/2049,20,2
701211,12/31/2049,20,2
701212,12/31/2049,20,2
701213,12/31/2049,20,2
701214,12/31/2049,20,2
701215,12/31/2049,20,2
701216,12/31/2049,20,2
701217,12/31/2049,20,2
701218,12/31/2049,20,2
701219,02/06/2019,20,2
701220,12/31/2049,20,2
701221,12/31/2049,20,2
701222,12/31/2049,20,2
701223,12/31/2049,20,2
701224,02/06/2019,20,2
701225,12/31/2049,20,2
701226,12/31/2049,20,2
701227,02/15/2019,20,2
701228,12/31/2049,20,2
701230,03/01/2019,20,2
701231,02/08/2019,20,2
701232,02/21/2019,20,2
701233,12/31/2049,20,2
701234,12/31/2049,20,2
701235,12/31/2049,20,2
701236,03/14/2019,20,2
701237,12/31/2049,20,2
701238,02/21/2019,20,2
701239,12/31/2049,20,2
701240,12/31/2049,20,2
701241,02/13/2019,20,2
701242,12/31/2049,20,2
701243,02/21/2019,20,2
701244,02/21/2019,20,2
701245,12/31/2049,20,2
701246,12/31/2049,20,2
701248,12/31/2049,20,2
701249,12/31/2049,20,2
701250,12/31/2049,20,2
701251,12/31/2049,20,2
701252,12/31/2049,20,2
701253,02/13/2019,20,2
701254,12/31/2049,20,2
701255,02/27/2019,20,2
701256,03/22/2019,20,2
701257,02/21/2019,20,2
701258,12/31/2049,20,2
701260,12/31/2049,20,2
701261,12/31/2049,20,2
701262,12/31/2049,20,2
701263,02/15/2019,20,2
701264,12/31/2049,20,2
701266,12/31/2049,20,2
701267,12/31/2049,20,2
701268,02/28/2019,20,2
701269,02/21/2019,20,2
701271,02/28/2019,20,2
701272,12/31/2049,20,2
701273,03/20/2019,20,2
701274,12/31/2049,20,2
701275,03/14/2019,20,2
701276,12/31/2049,20,2
701277,12/31/2049,20,2
701278,02/28/2019,20,2
701279,02/06/2019,20,2
701280,02/21/2019,20,2
701281,02/13/2019,20,2
701282,12/31/2049,20,2
701283,02/21/2019,20,2
701284,02/21/2019,20,2
701285,12/31/2049,20,2
701287,02/21/2019,20,2
701288,02/15/2019,20,2
701290,02/13/2019,20,2
701291,02/06/2019,20,2
701293,02/13/2019,20,2
701294,12/31/2049,20,2
701295,02/06/2019,20,2
701296,12/31/2049,20,2
701297,12/31/2049,20,2
701298,12/31/2049,20,2
701299,12/31/2049,20,2
701301,02/06/2019,20,2
701303,02/06/2019,20,2
701307,12/31/2049,20,2
701309,02/06/2019,20,2
701310,02/13/2019,20,2
701311,12/31/2049,20,2
701312,02/13/2019,20,2
701314,02/28/2019,20,2
701315,02/21/2019,20,2
701316,12/31/2049,20,2
701317,12/31/2049,20,2
701318,12/31/2049,20,2
701319,12/31/2049,20,2
701320,12/31/2049,20,2
701321,12/31/2049,20,2
701322,12/31/2049,20,2
701323,02/06/2019,20,2
701324,02/13/2019,20,2
701325,12/31/2049,20,2
701326,02/08/2019,20,2
701327,12/31/2049,20,2
701328,02/28/2019,20,2
701329,12/31/2049,20,2
701331,02/13/2019,20,2
