STORE_NO,COST_CENTER_NAME,POS_TERM_NO,STATUS_CODE,DAD,MAX_TRAN_DT,TRAN_NO_LAST
1001,INDY-LAWRENCE,12170,1,'01-06-02,1-Aug-18,59557
1001,INDY-LAWRENCE,13702,1,'01-06-02,1-Aug-18,32900
1002,LUDINGTON,11372,1,'01-01-15,1-Aug-18,57315
1002,LUDINGTON,13701,1,'01-01-15,1-Aug-18,89233
1003,INDY-KEYSTONE,12277,1,'01-06-02,1-Aug-18,88344
1003,INDY-KEYSTONE,14043,1,'01-06-02,1-Aug-18,40422
1004,MORGANTOWN,11468,1,'02-08-25,1-Aug-18,93233
1004,MORGANTOWN,14297,1,'02-08-25,1-Aug-18,68540
1005,SOUTH BEND-COMMERCIAL,11395,1,'01-03-38,1-Aug-18,25776
1005,SOUTH BEND-COMMERCIAL,13058,1,'01-03-38,1-Aug-18,46303
1006,INDY-EMERSON,12272,1,'01-06-02,1-Aug-18,28036
1006,INDY-EMERSON,13766,1,'01-06-02,1-Aug-18,79005
1007,ROYAL OAK,10416,1,'01-01-08,1-Aug-18,23693
1007,ROYAL OAK,12639,1,'01-01-08,1-Aug-18,69543
1008,BATH,10584,1,'02-01-16,1-Aug-18,53794
1008,BATH,20095,1,'02-01-16,1-Aug-18,42107
1009,ST MARY'S,11200,1,'01-01-19,1-Aug-18,18138
1010,FAIRVIEW PARK,11909,1,'01-01-06,1-Aug-18,29495
1010,FAIRVIEW PARK,13318,1,'01-01-06,1-Aug-18,84856
1011,RAVENNA,10009,1,'01-01-06,1-Aug-18,41557
1011,RAVENNA,13264,1,'01-01-06,1-Aug-18,19965
1012,WADSWORTH,10310,1,'01-01-06,1-Aug-18,73248
1012,WADSWORTH,15281,1,'01-01-06,1-Aug-18,85323
1013,SOUTHGATE,10417,1,'01-01-08,1-Aug-18,1903
1013,SOUTHGATE,13031,1,'01-01-08,1-Aug-18,4770
1014,PETOSKEY,11369,1,'01-01-17,1-Aug-18,93290
1014,PETOSKEY,13356,1,'01-01-17,1-Aug-18,62134
1015,JACKSON,10003,1,'01-01-05,1-Aug-18,48464
1016,LEXINGTON-REGENCY,11074,1,'01-06-32,1-Aug-18,77513
1016,LEXINGTON-REGENCY,15519,1,'01-06-32,1-Aug-18,15943
1017,EVANSVILLE-DIAMOND,11094,1,'01-06-22,1-Aug-18,49668
1017,EVANSVILLE-DIAMOND,13106,1,'01-06-22,1-Aug-18,98608
1018,ST CLAIRSVILLE,11830,1,'01-01-74,1-Aug-18,81114
1018,ST CLAIRSVILLE,13072,1,'01-01-74,1-Aug-18,88926
1019,LEBANON,10732,1,'01-06-21,1-Aug-18,96566
1019,LEBANON,14641,1,'01-06-21,1-Aug-18,55835
1020,AKRON-MANCHESTER RD,11861,1,'01-01-06,1-Aug-18,35396
1020,AKRON-MANCHESTER RD,13040,1,'01-01-06,1-Aug-18,78999
1021,STEUBENVILLE,10230,1,'01-01-74,1-Aug-18,92867
1021,STEUBENVILLE,13206,1,'01-01-74,1-Aug-18,45623
1023,PORTSMOUTH,11466,1,'02-08-25,1-Aug-18,8961
1023,PORTSMOUTH,20134,1,'02-08-25,1-Aug-18,47871
1024,LOUISVIL-JEFFERSONVIL,11080,1,'01-06-13,1-Aug-18,98433
1024,LOUISVIL-JEFFERSONVIL,14225,1,'01-06-13,1-Aug-18,49996
1025,WELLSVILLE,10596,1,'02-01-16,1-Aug-18,57088
1025,WELLSVILLE,20064,1,'02-01-16,1-Aug-18,38507
1026,GRD RPD-PLAINFIELD,12253,1,'01-01-15,1-Aug-18,94418
1026,GRD RPD-PLAINFIELD,13733,1,'01-01-15,1-Aug-18,99391
1027,DAYTON-LINDEN,12350,1,'01-06-21,1-Aug-18,99486
1027,DAYTON-LINDEN,15283,1,'01-06-21,1-Aug-18,30424
1028,IONIA,11384,1,'01-01-15,1-Aug-18,75866
1028,IONIA,14642,1,'01-01-15,1-Aug-18,97918
1029,SOMERSET,11068,1,'01-06-32,1-Aug-18,58507
1029,SOMERSET,15310,1,'01-06-32,1-Aug-18,99073
1030,YOUNGSTOWN-LIBERTY,10232,1,'01-01-06,1-Aug-18,64508
1030,YOUNGSTOWN-LIBERTY,15365,1,'01-01-06,1-Aug-18,99374
1031,PERU,11193,1,'01-06-12,1-Aug-18,8078
1032,SOUTHGATE,11832,1,'01-06-21,1-Aug-18,63027
1032,SOUTHGATE,14818,1,'01-06-21,1-Aug-18,4852
1033,YPSILANTI,10701,1,'01-01-08,1-Aug-18,17401
1033,YPSILANTI,14506,1,'01-01-08,1-Aug-18,1370
1034,MADISONVILLE,11099,1,'01-06-22,1-Aug-18,24207
1034,MADISONVILLE,15309,1,'01-06-22,1-Aug-18,1113
1035,LAKEWOOD,11677,1,'01-01-06,1-Aug-18,66367
1035,LAKEWOOD,13399,1,'01-01-06,1-Aug-18,59940
1036,PLEASANT VALLEY,10075,1,'01-01-06,1-Aug-18,90498
