COST_CENTER,ALLOCATION_CC,DIVISION_OFFSET
BA03,BX03,B282
BA04,BX04,B282
BA05,BX05,B282
BA06,BX06,B282
BA08,BX08,B112
BA09,BX09,B112
BA10,BX10,B112
BA11,BX11,B112
BA12,BX12,B112
BA13,BX13,B112
BA15,BX15,B112
BA17,BX17,B112
BA18,BX18,B112
BA19,BX19,B112
BA20,BX20,B112
BA21,BX21,B282
BA22,BX22,B112
BA23,BX23,B282
BA61,BX61,B112
N017,A412,B261
N020,X020,B261
N102,X102,B265
N103,X103,B265
N104,X104,B265
N105,X105,B265
N106,X106,B265
N107,X107,B265
N111,X111,B265
N112,X112,B265
N113,X113,B265
N114,X114,B265
N115,X115,B265
N116,X116,B265
N117,X117,B265
N118,X118,B265
N119,X119,B265
N121,X121,B265
N122,X122,B265
N123,X123,B265
N124,X124,B265
N125,X125,B265
N126,X126,B265
N127,X127,B265
N128,X128,B265
N129,X129,B265
N130,X130,B265
N131,X131,B265
N132,X132,B265
N133,X133,B265
N134,X134,B265
N135,X135,B265
N136,X136,B265
N137,X137,B265
N138,X138,B265
N139,X139,B265
N140,X140,B265
N141,X141,B265
N142,X142,B265
N143,X143,B265
N144,X144,B265
N145,X145,B265
N146,X146,B265
N147,X147,B265
N148,X148,B265
N149,X149,B265
N150,X150,B265
N151,X151,B265
N152,X152,B265
N154,X154,B265
N155,X155,B265
N156,X156,B265
N157,X157,B265
N159,X159,B265
N162,X162,B265
N163,X163,B281
N164,X164,B265
N165,X165,B265
N166,X166,B265
N167,X167,B265
N168,X168,B265
N169,X169,B265
N170,X170,B265
N171,X171,B265
N173,X173,B265
N174,X174,B265
N176,X176,B265
N177,X177,B265
N178,X178,B265
N179,X179,B265
N180,X180,B265
N181,X181,B265
N182,X182,B265
N183,X183,B265
N184,X184,B265
N185,X185,B265
N188,X188,B265
N189,X189,B265
N190,X190,B265
N191,X191,B265
N192,X192,B265
N193,X193,B265
N194,X194,B265
N195,X195,B265
N196,X196,B265
N197,X197,B281
N203,X203,B281
N204,X204,B265
N205,X205,B265
N206,X206,B265
N207,X207,B265
N208,X208,B265
N209,X209,B281
N212,X212,B265
N213,X213,B265
N220,X220,B265
N221,X221,B265
N222,X222,B265
N223,X223,B265
N224,X224,B265
N227,X227,B265
N231,X231,B265
N237,X237,B265
N238,X238,B265
N239,X239,B281
N240,X240,B265
N277,X277,B262
N279,X279,B261
N294,X294,B285
N295,X295,B262
N296,X296,B262
N297,X297,B262
N298,X298,B262
N299,X299,B262
N300,X300,B262
N302,X302,B262
N306,X306,B262
N307,X307,B262
N310,X310,B262
N321,X321,B268
N322,X322,B264
N323,X323,B264
N324,X324,B263
N327,X327,B262
N332,X332,B262
N335,X335,B261
N336,X336,B261
N340,X340,B264
N414,X414,B264
N427,X427,B265
N506,X506,B265
N515,X515,B265
N520,X520,B265
N521,X521,B281
N522,X522,B265
N523,X523,B265
N525,X525,B265
N527,X527,B265
N533,X533,B265
N534,X534,B265
N535,X535,B265
N537,X537,B265
N554,X554,B265
N555,X555,B265
N556,X556,B265
N584,X584,B265
N611,A411,B261
N612,A412,B261
N613,A414,B261
N616,A413,B261
N618,A487,B261
N621,A662,B262
N622,A257,B262
N623,A256,B262
N627,A287,B285
N628,X628,B285
N631,A431,B263
N632,A462,B263
N633,A434,B263
N637,X637,B262
N638,A266,B263
N639,X639,B262
N640,X640,B262
N641,A441,B264
N642,A456,B264
N643,A526,B264
N644,A443,B264
N646,A510,B264
N647,A445,B264
N721,X721,B268
N722,X722,B268
N723,X723,B268
N724,X724,B268
N725,X725,B268
N727,X727,B268
N729,A257,B262
N737,A257,B262
N738,A257,B262
N745,X745,B262
N775,X775,B265
N776,X776,B265
N784,X784,B265
N788,X788,B252
N789,X789,B252
N790,X790,B251
N794,X794,B265
N801,A257,B262
