CREDIT_HIERARCHY,1,,01,0101,20160824,,STORES DIVISION
CREDIT_HIERARCHY,1,,01,0102,20160824,,STORES DIVISION
CREDIT_HIERARCHY,1,,01,0103,20160824,,STORES DIVISION
CREDIT_HIERARCHY,1,,01,0104,20160824,,STORES DIVISION
CREDIT_HIERARCHY,1,,01,0107,20160824,,STORES DIVISION
CREDIT_HIERARCHY,1,,01,0108,20160824,,STORES DIVISION
CREDIT_HIERARCHY,1,,01,0110,20160824,,STORES DIVISION
CREDIT_HIERARCHY,1,,01,0112,20160824,,STORES DIVISION
CREDIT_HIERARCHY,1,,01,0113,20160824,,STORES DIVISION
CREDIT_HIERARCHY,1,,01,0114,20160824,,STORES DIVISION
CREDIT_HIERARCHY,1,,01,0120,20160824,,STORES DIVISION
CREDIT_HIERARCHY,1,,01,0140,20160824,,STORES DIVISION
CREDIT_HIERARCHY,1,,01,0150,20160824,,STORES DIVISION
CREDIT_HIERARCHY,1,,01,0160,20160824,,STORES DIVISION
CREDIT_HIERARCHY,1,,01,0170,20160824,,STORES DIVISION
CREDIT_HIERARCHY,1,,01,0180,20160824,,STORES DIVISION
CREDIT_HIERARCHY,2,01,0101,010121,20160824,,EASTERN
CREDIT_HIERARCHY,2,01,0101,010122,20160824,,EASTERN
CREDIT_HIERARCHY,2,01,0101,010123,20160824,,EASTERN
CREDIT_HIERARCHY,2,01,0101,010124,20160824,,EASTERN
CREDIT_HIERARCHY,2,01,0101,010125,20160824,,EASTERN
CREDIT_HIERARCHY,2,01,0101,010126,20160824,,EASTERN
CREDIT_HIERARCHY,2,01,0101,010127,20160824,,EASTERN
CREDIT_HIERARCHY,3,0101,010121,010121009,20160824,,EA-CENTRAL AREA
CREDIT_HIERARCHY,3,0101,010121,010121012,20160824,,EA-CENTRAL AREA
CREDIT_HIERARCHY,3,0101,010121,010121013,20160824,,EA-CENTRAL AREA
CREDIT_HIERARCHY,3,0101,010121,010121016,20160824,,EA-CENTRAL AREA
CREDIT_HIERARCHY,3,0101,010121,010121019,20160824,,EA-CENTRAL AREA
CREDIT_HIERARCHY,3,0101,010121,010121025,20160824,,EA-CENTRAL AREA
CREDIT_HIERARCHY,3,0101,010121,010121418,20160824,,EA-CENTRAL AREA
CREDIT_HIERARCHY,4,010121,010121009,010121009701103,20160824,,CENTRAL PENNSYLVANIA,009
CREDIT_HIERARCHY,4,010121,010121009,010121009701126,20160824,,CENTRAL PENNSYLVANIA,009
CREDIT_HIERARCHY,4,010121,010121009,010121009701230,20160824,,CENTRAL PENNSYLVANIA,009
CREDIT_HIERARCHY,4,010121,010121009,010121009701850,20160824,,CENTRAL PENNSYLVANIA,009
CREDIT_HIERARCHY,4,010121,010121009,010121009703316,20160824,,CENTRAL PENNSYLVANIA,009
CREDIT_HIERARCHY,4,010121,010121009,010121009703318,20160824,,CENTRAL PENNSYLVANIA,009
CREDIT_HIERARCHY,4,010121,010121009,010121009703323,20160824,,CENTRAL PENNSYLVANIA,009
CREDIT_HIERARCHY,4,010121,010121009,010121009703334,20160824,,CENTRAL PENNSYLVANIA,009
CREDIT_HIERARCHY,4,010121,010121009,010121009703342,20160824,,CENTRAL PENNSYLVANIA,009
CREDIT_HIERARCHY,4,010121,010121009,010121009703395,20160824,,CENTRAL PENNSYLVANIA,009
CREDIT_HIERARCHY,4,010121,010121009,010121009703724,20160824,,CENTRAL PENNSYLVANIA,009
CREDIT_HIERARCHY,4,010121,010121009,010121009703731,20160824,,CENTRAL PENNSYLVANIA,009
CREDIT_HIERARCHY,4,010121,010121009,010121009703761,20160824,,CENTRAL PENNSYLVANIA,009
CREDIT_HIERARCHY,4,010121,010121009,010121009703789,20160824,,CENTRAL PENNSYLVANIA,009
CREDIT_HIERARCHY,4,010121,010121009,010121009703808,20160824,,CENTRAL PENNSYLVANIA,009
CREDIT_HIERARCHY,4,010121,010121009,010121009703930,20160824,,CENTRAL PENNSYLVANIA,009
CREDIT_HIERARCHY,4,010121,010121009,010121009703931,20160824,,CENTRAL PENNSYLVANIA,009
CREDIT_HIERARCHY,4,010121,010121009,010121009703994,20160824,,CENTRAL PENNSYLVANIA,009
CREDIT_HIERARCHY,4,010121,010121009,010121009705020,20160824,,CENTRAL PENNSYLVANIA,009
CREDIT_HIERARCHY,4,010121,010121009,010121009705069,20160824,,CENTRAL PENNSYLVANIA,009
CREDIT_HIERARCHY,4,010121,010121009,010121009705126,20160824,,CENTRAL PENNSYLVANIA,009
CREDIT_HIERARCHY,4,010121,010121009,010121009705161,20160824,,CENTRAL PENNSYLVANIA,009
CREDIT_HIERARCHY,4,010121,010121009,010121009705162,20160824,,CENTRAL PENNSYLVANIA,009
CREDIT_HIERARCHY,4,010121,010121009,010121009705165,20160824,,CENTRAL PENNSYLVANIA,009
CREDIT_HIERARCHY,4,010121,010121009,010121009705167,20160824,,CENTRAL PENNSYLVANIA,009
CREDIT_HIERARCHY,4,010121,010121009,010121009705188,20160824,,CENTRAL PENNSYLVANIA,009
CREDIT_HIERARCHY,4,010121,010121009,010121009705194,20160824,,CENTRAL PENNSYLVANIA,009
CREDIT_HIERARCHY,4,010121,010121009,010121009705208,20160824,,CENTRAL PENNSYLVANIA,009
CREDIT_HIERARCHY,4,010121,010121009,010121009705295,20160824,,CENTRAL PENNSYLVANIA,009
