Store, Last Draft Number, Last Order Date
701001,1749,7/25/2006
701002,1799,12/17/2015
701003,1499,7/26/2019
701004,1499,8/22/2010
701005,1849,12/3/2010
701006,1499,7/7/2004
701007,1749,8/26/2005
701008,1749,4/27/2004
701009,1599,4/14/2014
701010,1499,4/2/2004
701011,1749,7/26/2019
701012,1449,7/26/2019
701013,1999,9/12/2007
701014,2249,8/24/2010
701015,1699,4/24/2014
701016,1849,8/16/2010
701017,1849,11/9/2005
701018,1499,5/13/2002
701019,1749,5/23/2010
701020,1499,1/17/2001
701021,3149,4/25/2018
701023,1399,6/6/2005
701024,1699,11/20/2014
701025,1249,10/13/2006
701026,1649,1/6/2009
701027,1799,1/22/2010
701028,1749,5/27/2003
701029,1749,2/15/2001
701030,4049,2/4/2019
701031,1249,7/26/2019
701032,1699,2/7/2003
701033,1449,7/26/2019
701034,1999,1/9/2019
701035,1399,9/27/2005
701036,1349,6/18/2007
701037,2399,7/26/2019
701038,1599,10/24/2008
701039,1749,7/16/2018
701040,1749,10/22/2002
701041,2049,1/15/2008
701042,1549,8/29/2017
701044,1199,7/26/2019
701045,1449,6/16/2003
701046,1349,10/14/2005
701050,1499,1/8/2001
701051,2249,4/22/2019
701053,1599,10/14/2005
701054,1299,1/15/2003
701055,1799,8/22/2018
701056,1749,4/14/2004
701057,1599,3/21/2018
701058,1449,7/26/2019
701059,1249,7/26/2019
701060,1449,7/26/2019
701061,1249,8/6/2013
701062,1399,11/17/2003
701063,1299,1/9/2015
701065,1349,2/6/2006
701066,1549,1/30/2017
701067,1649,9/25/2017
701068,1449,8/24/2010
701069,1599,2/1/2005
701070,2249,6/9/2004
701071,1399,9/21/2000
701072,1149,7/26/2019
701073,1949,9/28/2004
701074,1499,7/3/2000
701075,1749,4/14/2004
701076,1749,9/20/2017
701077,1699,7/7/2008
701078,2799,11/22/2004
701079,2449,9/18/2009
701080,1599,12/10/2008
701081,1349,6/23/2008
701082,1799,6/18/2014
701083,1299,6/16/2005
701084,1999,11/7/2018
701085,1799,2/9/2010
701087,1299,3/30/2012
701088,1949,12/2/2004
701089,1199,7/26/2019
701090,1499,7/26/2019
701091,1449,12/5/2001
701092,1649,8/13/2014
701093,1599,5/16/2001
701094,1799,6/4/2012
701095,1549,8/18/2004
701096,1499,8/2/2006
701098,2449,9/27/2005
701099,1649,3/7/2005
701101,1649,7/9/2010
701102,1349,3/24/2006
701103,1699,2/21/2006
701104,1449,2/27/2001
701105,1499,9/16/2002
701106,2999,12/3/2018
701108,2249,4/27/2004
701109,2849,7/5/2005
701110,1299,5/18/2011
701112,1699,2/15/2007
701113,1299,3/7/2011
701114,2299,12/14/2017
701116,1499,2/17/2004
701117,1049,9/19/2013
701118,1749,7/26/2019
701119,1499,2/6/2007
701120,1399,8/9/2000
701121,4049,3/20/2019
701122,1399,7/26/2019
701123,1499,7/26/2019
701124,1499,10/7/2016
701125,1449,7/3/2000
701126,1649,10/31/2005
701127,1849,9/20/2012
701128,1749,10/18/2001
701129,1699,8/19/2003
701130,1449,7/26/2019
701131,1749,7/30/2010
701132,1399,10/18/2007
701133,1449,7/26/2019
701134,1449,11/7/2000
701135,2149,1/21/2011
701136,1549,7/18/2017
701137,1549,6/10/2011
701139,9749,4/29/2019
701140,1499,6/22/2000
701141,1649,1/10/2011
701143,1649,10/5/2005
701144,1499,8/9/2000
701145,1549,5/22/2008
701146,1549,8/21/2017
701147,1999,11/30/2000
701148,1499,6/13/2002
701149,2199,9/30/2004
701150,2049,5/31/2011
701151,9699,7/3/2019
701152,1499,6/1/2004
701153,1399,11/24/2003
701155,2299,6/5/2009
701156,1249,7/26/2019
701157,1399,8/3/2000
701158,1349,12/15/2006
701159,1449,10/26/2009
701161,1399,10/5/2005
701162,1699,2/28/2002
701163,2049,1/27/2009
701164,1999,8/17/2018
701165,1549,8/24/2016
701166,1299,3/3/2010
701167,1649,1/21/2010
701168,1449,11/12/2002
701170,2499,1/2/2018
701171,1349,7/12/2001
701172,1699,3/6/2006
701173,3249,5/22/2019
701174,1449,7/26/2019
701175,1649,5/3/2010
701176,1199,7/26/2019
701177,1299,8/21/2007
701178,1499,3/2/2001
701179,1549,3/17/2017
701180,1299,12/10/2002
701181,1299,11/4/2002
701182,1349,7/26/2019
701183,1299,9/27/2005
701184,1699,3/28/2005
701185,1599,2/23/2004
701186,1299,1/12/2016
701187,1249,7/26/2019
701188,1749,1/26/2004
701189,1499,8/17/2018
701190,1399,9/27/2002
701191,5449,10/13/2006
701192,1899,7/1/2008
701193,1649,7/15/2008
701194,1549,11/4/2004
701195,1599,3/7/2016
701197,2149,2/2/2007
701198,1499,10/13/2006
701199,1499,7/26/2019
701202,1599,11/4/2002
701205,1249,7/26/2019
701206,1699,5/13/2004
701207,1649,10/2/2008
701208,1899,1/10/2006
701209,1749,8/4/2005
701211,1749,8/6/2003
701213,2399,8/23/2017
701214,6949,6/3/2019
701215,1699,11/27/2017
701216,1849,10/13/2017
701217,1699,10/2/2009
701218,1849,12/31/2010
701219,1749,10/7/2003
701220,2049,4/1/2013
701221,9049,5/1/2019
701222,3399,6/14/2019
701223,8599,3/25/2019
701224,1599,12/5/2017
701225,3299,1/18/2019
701226,1999,11/22/2016
701227,1799,10/11/2018
701228,2099,10/6/2009
701230,1049,9/3/2014
701231,1299,3/20/2008
701232,1799,5/13/2004
701233,1549,10/17/2008
701234,1599,10/2/2008
701235,1749,4/22/2003
701236,1299,12/17/2018
701237,1749,12/11/2009
701238,1249,7/26/2019
701239,1699,10/1/2002
701240,1299,8/9/2011
701241,1349,5/13/2004
701242,1499,8/13/2018
701243,1249,7/26/2019
701244,1299,4/20/2006
701245,1949,4/1/2013
701246,2099,9/24/2018
701248,1499,3/31/2006
701249,7149,5/17/2019
701250,1299,12/12/2011
701251,6549,5/22/2019
701252,1799,3/23/2018
701253,1499,3/12/2013
701254,1799,7/27/2016
701255,1699,8/9/2006
701256,1299,10/22/2015
701257,1299,11/9/2012
701258,1699,3/19/2004
701260,9099,6/24/2019
701261,1449,11/26/2001
701262,1849,1/25/2007
701263,3449,9/15/2010
701264,1299,9/27/2005
701266,1899,10/13/2006
701267,1399,10/4/2017
701268,1549,2/12/2014
701269,1199,7/26/2019
701271,1099,2/22/2013
701272,1199,7/26/2019
701273,1249,7/26/2019
701274,1999,10/6/2008
701275,1299,8/20/2001
701276,1849,11/18/2010
701277,5999,7/8/2019
701278,1349,7/26/2019
701279,1249,7/26/2019
701280,1249,7/26/2019
701281,1499,7/26/2019
701282,7199,5/1/2019
701283,1099,7/26/2019
701284,1449,7/26/2019
701285,2699,12/17/2015
701287,1149,10/5/2000
701288,1749,6/28/2011
701290,1149,7/26/2019
701291,1499,4/8/2011
701293,1349,7/26/2019
701294,1399,9/15/2006
701295,1299,3/24/2014
701296,1299,4/4/2013
701297,1099,7/26/2019
701298,1299,4/8/2016
701299,1449,1/14/2011
701301,1649,8/6/2010
701303,3849,4/21/2017
701307,1699,6/6/2005
701309,1299,7/26/2019
701310,1749,1/10/2005
701311,1299,3/11/2005
701312,1449,3/10/2005
701314,1249,7/26/2019
701315,1099,8/31/2000
701316,1999,3/28/2016
701317,1749,2/6/2018
701318,1999,4/12/2005
701319,1699,2/27/2006
701320,2099,3/21/2016
701321,2099,9/5/2007
701322,9699,3/20/2019
701323,1699,8/29/2006
701324,1449,9/30/2004
701325,1449,8/4/2005
701326,1149,6/15/2000
701327,1899,5/29/2013
701328,1249,10/31/2000
701329,1299,11/23/2011
701331,1449,7/26/2019
701332,1349,6/3/2008
701334,1299,3/15/2013
701336,1849,7/24/2012
701337,1099,1/8/2001
701338,1399,2/18/2005
701339,1399,4/17/2009
701340,1849,6/25/2014
701341,1299,7/26/2019
701342,1299,10/23/2001
701343,1549,6/26/2019
701344,1499,3/28/2000
701345,1549,3/7/2011
701346,1299,11/25/2015
701347,1549,7/8/2008
701348,1249,7/26/2019
701350,1299,7/26/2019
701351,1649,4/13/2009
701354,1149,3/23/2001
701355,1249,12/6/2000
701356,1449,5/17/2004
701357,1349,2/13/2008
701358,1799,4/5/2013
701359,1399,4/29/2005
701360,1299,6/8/2007
701361,1049,4/17/2019
701362,1349,3/27/2015
701363,1199,6/28/2001
701364,1299,6/14/2004
701365,1299,3/14/2012
701366,1499,4/14/2004
701368,1099,2/15/2002
701373,1249,12/19/2002
701374,1199,9/30/2004
701375,1249,8/14/2008
701379,1099,5/20/2004
701380,1149,9/16/2004
701381,1149,7/15/2005
701382,1199,2/18/2005
701383,1099,12/5/2005
701384,1199,5/4/2005
701387,1049,5/19/2006
701388,1149,12/5/2006
701389,1099,3/12/2013
701390,7449,3/4/2019
701391,1199,11/16/2007
701392,1249,1/9/2008
701393,1149,12/8/2006
701394,1049,11/30/2007
701395,1349,9/19/2014
701396,5849,1/2/2019
701397,1049,10/10/2006
701404,1349,4/12/2005
701419,1149,9/12/2003
701422,1049,11/6/2006
701424,1249,9/8/2008
701427,1249,5/25/2011
701428,1049,9/23/2008
701429,1199,11/4/2008
701430,8449,6/21/2019
701435,1099,6/7/2004
701436,1199,11/25/2015
701437,1249,12/14/2004
701438,1049,11/10/2004
701439,1249,6/6/2005
701441,1049,6/6/2005
701442,1099,10/3/2006
701443,1099,7/15/2005
701444,1299,12/8/2008
701445,1049,4/6/2006
701446,1149,8/15/2005
701447,1249,7/14/2006
701448,1149,1/18/2006
701449,1049,11/27/2007
701450,5849,2/2/2018
701451,1199,2/1/2006
701454,1249,4/28/2006
701455,1449,11/15/2010
701458,1249,7/24/2006
701459,1249,9/1/2009
701460,1199,2/28/2008
701461,1199,12/18/2008
701462,1099,12/1/2009
701468,5499,5/24/2019
701469,1199,12/13/2010
701477,1849,4/26/2019
701485,1249,7/26/2019
