Store, Run Type
701001,S
701002,S
701003,S
701004,S
701005,S
701006,S
701007,S
701008,S
701009,S
701010,S
701011,S
701012,S
701013,S
701014,S
701015,S
701016,S
701017,S
701018,S
701019,S
701020,S
701021,S
701023,S
701024,S
701025,S
701026,S
701027,S
701028,S
701029,S
701030,S
701031,S
701032,S
701033,S
701034,S
701035,S
701036,S
701037,S
701038,S
701039,S
701040,S
701041,S
701042,S
701044,S
701045,S
701046,S
701050,S
701051,S
701053,S
701054,S
701055,S
701056,S
701057,S
701058,S
701059,S
701060,S
701061,S
701062,S
701063,S
701065,S
701066,S
701067,S
701068,S
701069,S
701070,S
701071,S
701072,S
701073,S
701074,S
701075,S
701076,S
701077,S
701078,S
701079,S
701080,S
701081,S
701082,S
701083,S
701084,S
701085,S
701087,S
701088,S
701089,S
701090,S
701091,S
701092,S
701093,S
701094,S
701095,S
701096,S
701098,S
701099,S
701101,S
701102,S
701103,S
701104,S
701105,S
701106,S
701108,S
701109,S
701110,S
701112,S
701113,S
701114,S
701116,S
701117,S
701118,S
701119,S
701120,S
701121,S
701122,S
701123,S
701124,S
701125,S
701126,S
701127,S
701128,S
701129,S
701130,S
701131,S
701132,S
701133,S
701134,S
701135,S
701136,S
701137,S
701139,L
701140,S
701141,S
701143,S
701144,S
701145,S
701147,S
701148,S
701149,S
701150,S
701151,L
701152,S
701153,S
701155,S
701156,S
701157,S
701158,S
701159,S
701161,S
701162,S
701163,S
701164,S
701165,S
701166,S
701167,S
701168,S
701170,S
701171,S
701172,S
701173,S
701174,S
701175,S
701176,S
701177,S
701178,S
701179,S
701180,S
701181,S
701182,S
701183,S
701184,S
701185,S
701186,S
701187,S
701188,S
701189,S
701190,S
701191,S
701192,S
701193,S
701194,S
701195,S
701197,S
701198,S
701199,S
701202,S
701205,S
701206,S
701207,S
701208,S
701209,S
701211,S
701213,S
701214,L
701215,S
701216,S
701217,S
701218,S
701219,S
701220,S
701221,L
701222,L
701223,L
701224,S
701225,S
701226,S
701227,S
701228,S
701230,S
701231,S
701232,S
701233,S
701234,S
701235,S
